Name,link,store,price
"Lenovo IdeaPad 5 Laptop: Ryzen 7 5700U, 15.6"" IPS Touch, 16GB DDR4, 512GB SSD",https://slickdeals.net/f/15212203-lenovo-ideapad-5-2021-15-15-6-fhd-ips-touch-ryzen-7-5700u-16gb-ddr4-512gb-pcie-ssd-win10h-669-74-f-s,Lenovo,$669.75
600W EVGA 600 BQ 80 Plus Bronze Semi Modular Power Supply $35,https://slickdeals.net/f/15214114-600w-evga-600-bq-80-plus-bronze-semi-modular-power-supply-35,Newegg,$35
EVGA X17 Gaming Mouse - $29.99 + Free shipping at Newegg,https://slickdeals.net/f/15214099-evga-x17-gaming-mouse-29-99-free-shipping-at-newegg,Newegg,$29.99
"$999.99 - Lenovo - Legion 5 15"" Gaming Laptop - AMD Ryzen 7 5800H - NVIDIA GeForce RTX 3050 Ti - 8GB Memory - 512GB SSD - Phantom Blue at Best Buy",https://slickdeals.net/f/15213472-999-99-lenovo-legion-5-15-gaming-laptop-amd-ryzen-7-5800h-nvidia-geforce-rtx-3050-ti-8gb-memory-512gb-ssd-phantom-blue-at-best-buy,Best Buy,$999.99
Motorola MB8600 Ultra-Fast DOCSIS 3.1 Cable Modem,https://slickdeals.net/f/15212221-motorola-mb8600-docsis-3-1-cable-modem-130-amazon-b-h-and-microcenter,B&H Photo Video,$130
Linksys Hydra Pro 6E Tri-band Mesh WiFi AXE6600 Router for $299.99,https://slickdeals.net/f/15212560-linksys-hydra-pro-6e-tri-band-mesh-wifi-axe6600-router-for-299-99,Costco Wholesale,$299.99
AMD Ryzen 7 3700X 3.6GHz 8-Core Processor w/ Wraith Prism Cooler,https://slickdeals.net/f/15211951-amd-ryzen-7-3700x-matisse-3-6ghz-8-core-am4-boxed-processor-micro-center-in-store-199-99,Micro Center,$200
AMD Ryzen 7 5800X 3.8Ghz 8-Core AM4 Processor,https://slickdeals.net/f/15212098-microcenter-in-store-only-ryzen-9-5900x-500-5800x-350,Micro Center,$350
"Latest 2021 128GB Apple iPad Pro 11"" Wi-Fi Tablet (Space Gray or Silver) in store Only @ Microcenter $680",https://slickdeals.net/f/15212401-latest-2021-128gb-apple-ipad-pro-11-wi-fi-tablet-space-gray-or-silver-in-store-only-microcenter-680,Micro Center,$680
"AMD Ryzen 7 5800X 8-core, 16-Thread Unlocked Desktop Processor $396.99 at Amazon",https://slickdeals.net/f/15213241-amd-ryzen-7-5800x-8-core-16-thread-unlocked-desktop-processor-396-99-at-amazon,Amazon,$396.99
"GIGABYTE G32QC A Curved Gaming Monitor [32"" 165Hz 2K 1ms (MPRT), 93% DCI-P3, VESA HDR400, FreeSync Premium Pro] for $299.99 w/ FS after Code",https://slickdeals.net/f/15212848-gigabyte-g32qc-a-curved-gaming-monitor-32-165hz-2k-1ms-mprt-93-dci-p3-vesa-hdr400-freesync-premium-pro-for-299-99-w-fs-after-code,Newegg,$299.99
Buy 1 Get 2 Free + Get up to a total of 25 products for the price of one at IK Multimedia,https://slickdeals.net/f/15212653-buy-1-get-2-free-get-up-to-a-total-of-25-products-for-the-price-of-one-at-ik-multimedia,IK Multimedia,
"be quiet! Pure Base 500DX White ATX Computer Case [ARGB, Mid Tower, Tempered Glass Window] for $79.90 w/ FS after Code",https://slickdeals.net/f/15212728-be-quiet-pure-base-500dx-white-atx-computer-case-argb-mid-tower-tempered-glass-window-for-79-90-w-fs-after-code,Newegg,$79.90
"Acer Swift 5 Intel Evo Thin & Light Laptop, 14"" Full HD Touch, Intel Core i7-1165G7, Intel Iris Xe Graphics, 16GB LPDDR4X, 1TB NVMe SSD, Wi-Fi 6 $975.99",https://slickdeals.net/f/15213328-acer-swift-5-intel-evo-thin-light-laptop-14-full-hd-touch-intel-core-i7-1165g7-intel-iris-xe-graphics-16gb-lpddr4x-1tb-nvme-ssd-wi-fi-6-975-99,Amazon,$975.99
"Lenovo G34w-10 34-Inch WQHD Curved Gaming Monitor, 21:9 Ultra-Wide, 3 Side NearEdgeless, 3440 x 1440, AMD FreeSync, 144Hz, HDMI, DP, Adjustable Stand, VESA, 66A1GCCBUS, B - $339.99",https://slickdeals.net/f/15212347-lenovo-g34w-10-34-inch-wqhd-curved-gaming-monitor-21-9-ultra-wide-3-side-nearedgeless-3440-x-1440-amd-freesync-144hz-hdmi-dp-adjustable-stand-vesa-66a1gccbus-b-339-99,Amazon,$339.99
"GIGABYTE G5 MD-51US123SH Gaming Laptop [15.6"" 144 Hz IPS Intel Core i5-11400H, NVIDIA GeForce RTX 3050 Ti, 16 GB RAM, 512 GB Gen4 SSD] for $999.00 w/ FS",https://slickdeals.net/f/15213040-gigabyte-g5-md-51us123sh-gaming-laptop-15-6-144-hz-ips-intel-core-i5-11400h-nvidia-geforce-rtx-3050-ti-16-gb-ram-512-gb-gen4-ssd-for-999-00-w-fs,Newegg,$999
SunFounder Project Super Starter Kit for Arduino with Uno R3 Board and Tutorial $23.09,https://slickdeals.net/f/15212437-sunfounder-project-super-starter-kit-for-arduino-with-uno-r3-board-and-tutorial-23-09,Amazon,$23.09
"WD_Black 500GB SN750 SE NVMe Battlefield 2042 to 3,600 MB/s $99",https://slickdeals.net/f/15212182-wd-black-500gb-sn750-se-nvme-battlefield-2042-to-3-600-mb-s-99,Amazon,$99
